Source,Target,weight,Label
"Tuesday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",Wednesday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,2,"Tuesday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
Tuesday-Burglary From Vehicle,Wednesday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,4,Tuesday-Burglary From Vehicle
Tuesday-Vandalism - Misdeameanor ($399 Or Under),Wednesday-Criminal Threats - No Weapon Displayed,27,Tuesday-Vandalism - Misdeameanor ($399 Or Under)
Tuesday-Vandalism - Misdeameanor ($399 Or Under),Wednesday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,1,Tuesday-Vandalism - Misdeameanor ($399 Or Under)
Tuesday-Intimate Partner - Simple Assault,Wednesday-Disturbing The Peace,1,Tuesday-Intimate Partner - Simple Assault
Tuesday-Intimate Partner - Simple Assault,Wednesday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,2,Tuesday-Intimate Partner - Simple Assault
Tuesday-Theft Plain - Petty ($950 & Under),Wednesday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,2,Tuesday-Theft Plain - Petty ($950 & Under)
Tuesday-Battery - Simple Assault,Wednesday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,6,Tuesday-Battery - Simple Assault
Wednesday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Thursday-Burglary From Vehicle,7,Wednesday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Friday-Intimate Partner - Simple Assault,Saturday-Trespassing,5,Friday-Intimate Partner - Simple Assault
Saturday-Trespassing,Monday-Battery - Simple Assault,1,Saturday-Trespassing
Saturday-Trespassing,Monday-Shoplifting - Petty Theft ($950 & Under),1,Saturday-Trespassing
Saturday-Trespassing,Monday-Burglary From Vehicle,1,Saturday-Trespassing
Saturday-Trespassing,Monday-Theft Of Identity,1,Saturday-Trespassing
Saturday-Trespassing,Monday-Vehicle - Stolen,1,Saturday-Trespassing
Saturday-Trespassing,Monday-Violation Of Court Order,1,Saturday-Trespassing
Saturday-Vehicle - Stolen,Monday-Battery - Simple Assault,1,Saturday-Vehicle - Stolen
Saturday-Vehicle - Stolen,Monday-Shoplifting - Petty Theft ($950 & Under),1,Saturday-Vehicle - Stolen
Saturday-Vehicle - Stolen,Monday-Burglary From Vehicle,1,Saturday-Vehicle - Stolen
Saturday-Vehicle - Stolen,Monday-Theft Of Identity,1,Saturday-Vehicle - Stolen
Saturday-Vehicle - Stolen,Monday-Vehicle - Stolen,1,Saturday-Vehicle - Stolen
Saturday-Vehicle - Stolen,Monday-Violation Of Court Order,1,Saturday-Vehicle - Stolen
Saturday-Battery - Simple Assault,Monday-Battery - Simple Assault,2,Saturday-Battery - Simple Assault
Saturday-Battery - Simple Assault,Monday-Shoplifting - Petty Theft ($950 & Under),1,Saturday-Battery - Simple Assault
Saturday-Battery - Simple Assault,Monday-Burglary From Vehicle,1,Saturday-Battery - Simple Assault
Saturday-Battery - Simple Assault,Monday-Theft Of Identity,1,Saturday-Battery - Simple Assault
Saturday-Battery - Simple Assault,Monday-Vehicle - Stolen,2,Saturday-Battery - Simple Assault
Saturday-Battery - Simple Assault,Monday-Violation Of Court Order,1,Saturday-Battery - Simple Assault
Monday-Shoplifting - Petty Theft ($950 & Under),Tuesday-Criminal Threats - No Weapon Displayed,10,Monday-Shoplifting - Petty Theft ($950 & Under)
Monday-Violation Of Court Order,Tuesday-Criminal Threats - No Weapon Displayed,3,Monday-Violation Of Court Order
Monday-Violation Of Court Order,Tuesday-Robbery,5,Monday-Violation Of Court Order
Tuesday-Burglary,"Wednesday-Rape, Forcible",3,Tuesday-Burglary
Tuesday-Vehicle - Stolen,"Wednesday-Rape, Forcible",4,Tuesday-Vehicle - Stolen
Tuesday-Theft Plain - Petty ($950 & Under),"Wednesday-Rape, Forcible",2,Tuesday-Theft Plain - Petty ($950 & Under)
Tuesday-Criminal Threats - No Weapon Displayed,Wednesday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,2,Tuesday-Criminal Threats - No Weapon Displayed
Tuesday-Criminal Threats - No Weapon Displayed,Wednesday-Violation Of Court Order,3,Tuesday-Criminal Threats - No Weapon Displayed
Tuesday-Robbery,"Wednesday-Rape, Forcible",2,Tuesday-Robbery
Tuesday-Robbery,Wednesday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,4,Tuesday-Robbery
Wednesday-Battery - Simple Assault,Thursday-Stalking,1,Wednesday-Battery - Simple Assault
Wednesday-Burglary,Thursday-Stalking,1,Wednesday-Burglary
Wednesday-Burglary From Vehicle,Thursday-Stalking,2,Wednesday-Burglary From Vehicle
Wednesday-Theft Plain - Petty ($950 & Under),Thursday-Stalking,2,Wednesday-Theft Plain - Petty ($950 & Under)
Wednesday-Theft Of Identity,Thursday-Stalking,1,Wednesday-Theft Of Identity
Wednesday-Vandalism - Misdeameanor ($399 Or Under),Thursday-Stalking,1,Wednesday-Vandalism - Misdeameanor ($399 Or Under)
"Wednesday-Rape, Forcible",Thursday-Stalking,1,"Wednesday-Rape, Forcible"
"Wednesday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",Thursday-Stalking,1,"Wednesday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
Wednesday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,"Thursday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",1,Wednesday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Wednesday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Thursday-Theft Of Identity,5,Wednesday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Wednesday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Thursday-Vandalism - Misdeameanor ($399 Or Under),3,Wednesday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Wednesday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Thursday-Stalking,1,Wednesday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Wednesday-Violation Of Court Order,"Thursday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",1,Wednesday-Violation Of Court Order
Wednesday-Violation Of Court Order,Thursday-Burglary From Vehicle,12,Wednesday-Violation Of Court Order
Wednesday-Violation Of Court Order,Thursday-Stalking,1,Wednesday-Violation Of Court Order
"Thursday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",Friday-Counterfeit,1,"Thursday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
Thursday-Theft Of Identity,Friday-Counterfeit,1,Thursday-Theft Of Identity
