Source,Target,weight,Label
Friday-Theft Of Identity,Saturday-Burglary,86,Friday-Theft Of Identity
Friday-Theft Of Identity,Saturday-Violation Of Court Order,14,Friday-Theft Of Identity
Friday-Theft Of Identity,Saturday-Vehicle - Stolen,83,Friday-Theft Of Identity
Friday-Theft Of Identity,Saturday-Burglary From Vehicle,71,Friday-Theft Of Identity
Friday-Theft Of Identity,"Saturday-Assault With Deadly Weapon, Aggravated Assault",45,Friday-Theft Of Identity
Friday-Theft Of Identity,Saturday-Battery - Simple Assault,82,Friday-Theft Of Identity
Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Saturday-Burglary,6,Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Saturday-Violation Of Court Order,1,Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Saturday-Vehicle - Stolen,11,Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Saturday-Burglary From Vehicle,5,Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,"Saturday-Assault With Deadly Weapon, Aggravated Assault",5,Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Saturday-Battery - Simple Assault,7,Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Friday-Battery - Simple Assault,Saturday-Burglary,104,Friday-Battery - Simple Assault
Friday-Battery - Simple Assault,Saturday-Violation Of Court Order,16,Friday-Battery - Simple Assault
Friday-Battery - Simple Assault,Saturday-Vehicle - Stolen,95,Friday-Battery - Simple Assault
Friday-Battery - Simple Assault,Saturday-Burglary From Vehicle,103,Friday-Battery - Simple Assault
Friday-Battery - Simple Assault,"Saturday-Assault With Deadly Weapon, Aggravated Assault",59,Friday-Battery - Simple Assault
Friday-Battery - Simple Assault,Saturday-Battery - Simple Assault,109,Friday-Battery - Simple Assault
"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",Saturday-Burglary,39,"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",Saturday-Violation Of Court Order,3,"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",Saturday-Vehicle - Stolen,68,"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",Saturday-Burglary From Vehicle,56,"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036","Saturday-Assault With Deadly Weapon, Aggravated Assault",26,"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",Saturday-Battery - Simple Assault,51,"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
"Friday-Assault With Deadly Weapon, Aggravated Assault",Saturday-Burglary,38,"Friday-Assault With Deadly Weapon, Aggravated Assault"
"Friday-Assault With Deadly Weapon, Aggravated Assault",Saturday-Violation Of Court Order,5,"Friday-Assault With Deadly Weapon, Aggravated Assault"
"Friday-Assault With Deadly Weapon, Aggravated Assault",Saturday-Vehicle - Stolen,51,"Friday-Assault With Deadly Weapon, Aggravated Assault"
"Friday-Assault With Deadly Weapon, Aggravated Assault",Saturday-Burglary From Vehicle,51,"Friday-Assault With Deadly Weapon, Aggravated Assault"
"Friday-Assault With Deadly Weapon, Aggravated Assault","Saturday-Assault With Deadly Weapon, Aggravated Assault",28,"Friday-Assault With Deadly Weapon, Aggravated Assault"
"Friday-Assault With Deadly Weapon, Aggravated Assault",Saturday-Battery - Simple Assault,49,"Friday-Assault With Deadly Weapon, Aggravated Assault"
Friday-Theft From Motor Vehicle - Petty ($950 & Under),Saturday-Burglary,40,Friday-Theft From Motor Vehicle - Petty ($950 & Under)
Friday-Theft From Motor Vehicle - Petty ($950 & Under),Saturday-Violation Of Court Order,3,Friday-Theft From Motor Vehicle - Petty ($950 & Under)
Friday-Theft From Motor Vehicle - Petty ($950 & Under),Saturday-Vehicle - Stolen,41,Friday-Theft From Motor Vehicle - Petty ($950 & Under)
Friday-Theft From Motor Vehicle - Petty ($950 & Under),Saturday-Burglary From Vehicle,39,Friday-Theft From Motor Vehicle - Petty ($950 & Under)
Friday-Theft From Motor Vehicle - Petty ($950 & Under),"Saturday-Assault With Deadly Weapon, Aggravated Assault",27,Friday-Theft From Motor Vehicle - Petty ($950 & Under)
Friday-Theft From Motor Vehicle - Petty ($950 & Under),Saturday-Battery - Simple Assault,42,Friday-Theft From Motor Vehicle - Petty ($950 & Under)
Friday-Burglary,Saturday-Burglary,90,Friday-Burglary
Friday-Burglary,Saturday-Violation Of Court Order,8,Friday-Burglary
Friday-Burglary,Saturday-Vehicle - Stolen,101,Friday-Burglary
Friday-Burglary,Saturday-Burglary From Vehicle,107,Friday-Burglary
Friday-Burglary,"Saturday-Assault With Deadly Weapon, Aggravated Assault",65,Friday-Burglary
Friday-Burglary,Saturday-Battery - Simple Assault,112,Friday-Burglary
Friday-Discharge Firearms/Shots Fired,Saturday-Burglary,2,Friday-Discharge Firearms/Shots Fired
Friday-Discharge Firearms/Shots Fired,Saturday-Violation Of Court Order,2,Friday-Discharge Firearms/Shots Fired
Friday-Discharge Firearms/Shots Fired,Saturday-Vehicle - Stolen,1,Friday-Discharge Firearms/Shots Fired
Friday-Discharge Firearms/Shots Fired,Saturday-Burglary From Vehicle,1,Friday-Discharge Firearms/Shots Fired
Friday-Discharge Firearms/Shots Fired,"Saturday-Assault With Deadly Weapon, Aggravated Assault",1,Friday-Discharge Firearms/Shots Fired
Friday-Discharge Firearms/Shots Fired,Saturday-Battery - Simple Assault,1,Friday-Discharge Firearms/Shots Fired
Friday-Vehicle - Stolen,Saturday-Burglary,82,Friday-Vehicle - Stolen
Friday-Vehicle - Stolen,Saturday-Violation Of Court Order,7,Friday-Vehicle - Stolen
Friday-Vehicle - Stolen,Saturday-Vehicle - Stolen,100,Friday-Vehicle - Stolen
Friday-Vehicle - Stolen,Saturday-Burglary From Vehicle,86,Friday-Vehicle - Stolen
Friday-Vehicle - Stolen,"Saturday-Assault With Deadly Weapon, Aggravated Assault",67,Friday-Vehicle - Stolen
Friday-Vehicle - Stolen,Saturday-Battery - Simple Assault,73,Friday-Vehicle - Stolen
Saturday-Burglary,"Sunday-Theft, Person",3,Saturday-Burglary
Saturday-Burglary,"Sunday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",37,Saturday-Burglary
Saturday-Violation Of Court Order,"Sunday-Theft, Person",1,Saturday-Violation Of Court Order
Saturday-Violation Of Court Order,"Sunday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",11,Saturday-Violation Of Court Order
Saturday-Vehicle - Stolen,"Sunday-Theft, Person",9,Saturday-Vehicle - Stolen
Saturday-Vehicle - Stolen,"Sunday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",50,Saturday-Vehicle - Stolen
Saturday-Burglary From Vehicle,"Sunday-Theft, Person",5,Saturday-Burglary From Vehicle
Saturday-Burglary From Vehicle,"Sunday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",35,Saturday-Burglary From Vehicle
"Saturday-Assault With Deadly Weapon, Aggravated Assault","Sunday-Theft, Person",2,"Saturday-Assault With Deadly Weapon, Aggravated Assault"
"Saturday-Assault With Deadly Weapon, Aggravated Assault","Sunday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",29,"Saturday-Assault With Deadly Weapon, Aggravated Assault"
Saturday-Battery - Simple Assault,"Sunday-Theft, Person",6,Saturday-Battery - Simple Assault
Saturday-Battery - Simple Assault,"Sunday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",65,Saturday-Battery - Simple Assault
"Sunday-Theft, Person","Monday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",5,"Sunday-Theft, Person"
"Sunday-Theft, Person","Monday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",2,"Sunday-Theft, Person"
"Sunday-Theft, Person",Monday-Burglary,7,"Sunday-Theft, Person"
"Sunday-Theft, Person",Monday-Battery - Simple Assault,6,"Sunday-Theft, Person"
"Sunday-Theft, Person","Monday-Assault With Deadly Weapon, Aggravated Assault",4,"Sunday-Theft, Person"
"Sunday-Theft, Person",Monday-Vehicle - Stolen,9,"Sunday-Theft, Person"
"Sunday-Theft, Person",Monday-Indecent Exposure,1,"Sunday-Theft, Person"
"Sunday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114","Monday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",20,"Sunday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Sunday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114","Monday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",21,"Sunday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Sunday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",Monday-Burglary,55,"Sunday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Sunday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",Monday-Battery - Simple Assault,43,"Sunday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Sunday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114","Monday-Assault With Deadly Weapon, Aggravated Assault",29,"Sunday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Sunday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",Monday-Vehicle - Stolen,48,"Sunday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Sunday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",Monday-Indecent Exposure,3,"Sunday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Monday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114","Tuesday-Embezzlement, Grand Theft ($950.01 & Over)",9,"Monday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Monday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114","Tuesday-Sex, Unlawful",3,"Monday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Monday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",Tuesday-Burglary,42,"Monday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Monday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",Tuesday-Battery - Simple Assault,51,"Monday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Monday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036","Tuesday-Embezzlement, Grand Theft ($950.01 & Over)",7,"Monday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
"Monday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036","Tuesday-Sex, Unlawful",1,"Monday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
"Monday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",Tuesday-Burglary,31,"Monday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
"Monday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",Tuesday-Battery - Simple Assault,43,"Monday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
Monday-Burglary,"Tuesday-Embezzlement, Grand Theft ($950.01 & Over)",6,Monday-Burglary
Monday-Burglary,"Tuesday-Sex, Unlawful",3,Monday-Burglary
Monday-Burglary,Tuesday-Burglary,87,Monday-Burglary
Monday-Burglary,Tuesday-Battery - Simple Assault,87,Monday-Burglary
Monday-Battery - Simple Assault,"Tuesday-Embezzlement, Grand Theft ($950.01 & Over)",6,Monday-Battery - Simple Assault
Monday-Battery - Simple Assault,"Tuesday-Sex, Unlawful",2,Monday-Battery - Simple Assault
Monday-Battery - Simple Assault,Tuesday-Burglary,93,Monday-Battery - Simple Assault
Monday-Battery - Simple Assault,Tuesday-Battery - Simple Assault,104,Monday-Battery - Simple Assault
"Monday-Assault With Deadly Weapon, Aggravated Assault","Tuesday-Embezzlement, Grand Theft ($950.01 & Over)",2,"Monday-Assault With Deadly Weapon, Aggravated Assault"
"Monday-Assault With Deadly Weapon, Aggravated Assault","Tuesday-Sex, Unlawful",1,"Monday-Assault With Deadly Weapon, Aggravated Assault"
"Monday-Assault With Deadly Weapon, Aggravated Assault",Tuesday-Burglary,50,"Monday-Assault With Deadly Weapon, Aggravated Assault"
"Monday-Assault With Deadly Weapon, Aggravated Assault",Tuesday-Battery - Simple Assault,39,"Monday-Assault With Deadly Weapon, Aggravated Assault"
Monday-Vehicle - Stolen,"Tuesday-Embezzlement, Grand Theft ($950.01 & Over)",11,Monday-Vehicle - Stolen
Monday-Vehicle - Stolen,"Tuesday-Sex, Unlawful",4,Monday-Vehicle - Stolen
Monday-Vehicle - Stolen,Tuesday-Burglary,79,Monday-Vehicle - Stolen
Monday-Vehicle - Stolen,Tuesday-Battery - Simple Assault,106,Monday-Vehicle - Stolen
Monday-Indecent Exposure,"Tuesday-Embezzlement, Grand Theft ($950.01 & Over)",2,Monday-Indecent Exposure
Monday-Indecent Exposure,"Tuesday-Sex, Unlawful",1,Monday-Indecent Exposure
Monday-Indecent Exposure,Tuesday-Burglary,2,Monday-Indecent Exposure
Monday-Indecent Exposure,Tuesday-Battery - Simple Assault,4,Monday-Indecent Exposure
"Tuesday-Embezzlement, Grand Theft ($950.01 & Over)","Wednesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",2,"Tuesday-Embezzlement, Grand Theft ($950.01 & Over)"
"Tuesday-Embezzlement, Grand Theft ($950.01 & Over)",Wednesday-Robbery,4,"Tuesday-Embezzlement, Grand Theft ($950.01 & Over)"
"Tuesday-Embezzlement, Grand Theft ($950.01 & Over)",Wednesday-Intimate Partner - Simple Assault,1,"Tuesday-Embezzlement, Grand Theft ($950.01 & Over)"
"Tuesday-Sex, Unlawful","Wednesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",2,"Tuesday-Sex, Unlawful"
"Tuesday-Sex, Unlawful",Wednesday-Robbery,2,"Tuesday-Sex, Unlawful"
"Tuesday-Sex, Unlawful",Wednesday-Intimate Partner - Simple Assault,3,"Tuesday-Sex, Unlawful"
Tuesday-Burglary,"Wednesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",46,Tuesday-Burglary
Tuesday-Burglary,Wednesday-Robbery,54,Tuesday-Burglary
Tuesday-Burglary,Wednesday-Intimate Partner - Simple Assault,31,Tuesday-Burglary
Tuesday-Battery - Simple Assault,"Wednesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",46,Tuesday-Battery - Simple Assault
Tuesday-Battery - Simple Assault,Wednesday-Robbery,40,Tuesday-Battery - Simple Assault
Tuesday-Battery - Simple Assault,Wednesday-Intimate Partner - Simple Assault,49,Tuesday-Battery - Simple Assault
"Wednesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",Thursday-Vehicle - Stolen,43,"Wednesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
"Wednesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",Thursday-Burglary,42,"Wednesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
"Wednesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036","Thursday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",23,"Wednesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
Wednesday-Robbery,Thursday-Vehicle - Stolen,47,Wednesday-Robbery
Wednesday-Robbery,Thursday-Burglary,41,Wednesday-Robbery
Wednesday-Robbery,"Thursday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",30,Wednesday-Robbery
Wednesday-Intimate Partner - Simple Assault,Thursday-Vehicle - Stolen,43,Wednesday-Intimate Partner - Simple Assault
Wednesday-Intimate Partner - Simple Assault,Thursday-Burglary,30,Wednesday-Intimate Partner - Simple Assault
Wednesday-Intimate Partner - Simple Assault,"Thursday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",12,Wednesday-Intimate Partner - Simple Assault
Thursday-Vehicle - Stolen,"Friday-Assault With Deadly Weapon, Aggravated Assault",42,Thursday-Vehicle - Stolen
Thursday-Vehicle - Stolen,Friday-Burglary,105,Thursday-Vehicle - Stolen
Thursday-Vehicle - Stolen,Friday-Burglary From Vehicle,87,Thursday-Vehicle - Stolen
Thursday-Vehicle - Stolen,Friday-Driving Without Owner Consent (Dwoc),2,Thursday-Vehicle - Stolen
Thursday-Vehicle - Stolen,Friday-Theft Of Identity,78,Thursday-Vehicle - Stolen
Thursday-Burglary,"Friday-Assault With Deadly Weapon, Aggravated Assault",36,Thursday-Burglary
Thursday-Burglary,Friday-Burglary,90,Thursday-Burglary
Thursday-Burglary,Friday-Burglary From Vehicle,81,Thursday-Burglary
Thursday-Burglary,Friday-Driving Without Owner Consent (Dwoc),1,Thursday-Burglary
Thursday-Burglary,Friday-Theft Of Identity,79,Thursday-Burglary
"Thursday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114","Friday-Assault With Deadly Weapon, Aggravated Assault",27,"Thursday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Thursday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",Friday-Burglary,59,"Thursday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Thursday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",Friday-Burglary From Vehicle,43,"Thursday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Thursday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",Friday-Driving Without Owner Consent (Dwoc),1,"Thursday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Thursday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",Friday-Theft Of Identity,42,"Thursday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Friday-Assault With Deadly Weapon, Aggravated Assault",Saturday-Theft From Motor Vehicle - Petty ($950 & Under),26,"Friday-Assault With Deadly Weapon, Aggravated Assault"
"Friday-Assault With Deadly Weapon, Aggravated Assault",Saturday-Discharge Firearms/Shots Fired,5,"Friday-Assault With Deadly Weapon, Aggravated Assault"
"Friday-Assault With Deadly Weapon, Aggravated Assault",Saturday-Intimate Partner - Simple Assault,44,"Friday-Assault With Deadly Weapon, Aggravated Assault"
"Friday-Assault With Deadly Weapon, Aggravated Assault",Saturday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,3,"Friday-Assault With Deadly Weapon, Aggravated Assault"
Friday-Burglary,Saturday-Theft From Motor Vehicle - Petty ($950 & Under),62,Friday-Burglary
Friday-Burglary,Saturday-Discharge Firearms/Shots Fired,8,Friday-Burglary
Friday-Burglary,Saturday-Intimate Partner - Simple Assault,86,Friday-Burglary
Friday-Burglary,Saturday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,8,Friday-Burglary
Friday-Burglary From Vehicle,Saturday-Theft From Motor Vehicle - Petty ($950 & Under),49,Friday-Burglary From Vehicle
Friday-Burglary From Vehicle,Saturday-Discharge Firearms/Shots Fired,7,Friday-Burglary From Vehicle
Friday-Burglary From Vehicle,Saturday-Intimate Partner - Simple Assault,66,Friday-Burglary From Vehicle
Friday-Burglary From Vehicle,Saturday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,4,Friday-Burglary From Vehicle
Friday-Driving Without Owner Consent (Dwoc),Saturday-Theft From Motor Vehicle - Petty ($950 & Under),1,Friday-Driving Without Owner Consent (Dwoc)
Friday-Driving Without Owner Consent (Dwoc),Saturday-Discharge Firearms/Shots Fired,1,Friday-Driving Without Owner Consent (Dwoc)
Friday-Driving Without Owner Consent (Dwoc),Saturday-Intimate Partner - Simple Assault,1,Friday-Driving Without Owner Consent (Dwoc)
Friday-Driving Without Owner Consent (Dwoc),Saturday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,1,Friday-Driving Without Owner Consent (Dwoc)
Friday-Theft Of Identity,Saturday-Theft From Motor Vehicle - Petty ($950 & Under),46,Friday-Theft Of Identity
Friday-Theft Of Identity,Saturday-Discharge Firearms/Shots Fired,2,Friday-Theft Of Identity
Friday-Theft Of Identity,Saturday-Intimate Partner - Simple Assault,56,Friday-Theft Of Identity
Friday-Theft Of Identity,Saturday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,6,Friday-Theft Of Identity
Saturday-Theft From Motor Vehicle - Petty ($950 & Under),Sunday-Vehicle - Stolen,38,Saturday-Theft From Motor Vehicle - Petty ($950 & Under)
Saturday-Theft From Motor Vehicle - Petty ($950 & Under),"Sunday-Letters, Lewd",4,Saturday-Theft From Motor Vehicle - Petty ($950 & Under)
Saturday-Theft From Motor Vehicle - Petty ($950 & Under),Sunday-Theft Plain - Petty ($950 & Under),40,Saturday-Theft From Motor Vehicle - Petty ($950 & Under)
Saturday-Theft From Motor Vehicle - Petty ($950 & Under),Sunday-Battery - Simple Assault,56,Saturday-Theft From Motor Vehicle - Petty ($950 & Under)
Saturday-Theft From Motor Vehicle - Petty ($950 & Under),Sunday-Burglary From Vehicle,40,Saturday-Theft From Motor Vehicle - Petty ($950 & Under)
Saturday-Discharge Firearms/Shots Fired,Sunday-Vehicle - Stolen,7,Saturday-Discharge Firearms/Shots Fired
Saturday-Discharge Firearms/Shots Fired,"Sunday-Letters, Lewd",1,Saturday-Discharge Firearms/Shots Fired
Saturday-Discharge Firearms/Shots Fired,Sunday-Theft Plain - Petty ($950 & Under),2,Saturday-Discharge Firearms/Shots Fired
Saturday-Discharge Firearms/Shots Fired,Sunday-Battery - Simple Assault,5,Saturday-Discharge Firearms/Shots Fired
Saturday-Discharge Firearms/Shots Fired,Sunday-Burglary From Vehicle,2,Saturday-Discharge Firearms/Shots Fired
Saturday-Intimate Partner - Simple Assault,Sunday-Vehicle - Stolen,61,Saturday-Intimate Partner - Simple Assault
Saturday-Intimate Partner - Simple Assault,"Sunday-Letters, Lewd",13,Saturday-Intimate Partner - Simple Assault
Saturday-Intimate Partner - Simple Assault,Sunday-Theft Plain - Petty ($950 & Under),48,Saturday-Intimate Partner - Simple Assault
Saturday-Intimate Partner - Simple Assault,Sunday-Battery - Simple Assault,72,Saturday-Intimate Partner - Simple Assault
Saturday-Intimate Partner - Simple Assault,Sunday-Burglary From Vehicle,53,Saturday-Intimate Partner - Simple Assault
Saturday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Sunday-Vehicle - Stolen,7,Saturday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Saturday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,"Sunday-Letters, Lewd",1,Saturday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Saturday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Sunday-Theft Plain - Petty ($950 & Under),2,Saturday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Saturday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Sunday-Battery - Simple Assault,6,Saturday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Saturday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Sunday-Burglary From Vehicle,4,Saturday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Sunday-Vehicle - Stolen,Monday-Burglary,75,Sunday-Vehicle - Stolen
"Sunday-Letters, Lewd",Monday-Burglary,11,"Sunday-Letters, Lewd"
Sunday-Theft Plain - Petty ($950 & Under),Monday-Burglary,56,Sunday-Theft Plain - Petty ($950 & Under)
Sunday-Battery - Simple Assault,Monday-Burglary,104,Sunday-Battery - Simple Assault
Sunday-Burglary From Vehicle,Monday-Burglary,78,Sunday-Burglary From Vehicle
Monday-Burglary,Tuesday-Violation Of Court Order,13,Monday-Burglary
Monday-Burglary,Tuesday-Burglary From Vehicle,70,Monday-Burglary
Monday-Burglary,Tuesday-Theft Plain - Petty ($950 & Under),69,Monday-Burglary
Monday-Burglary,Tuesday-Intimate Partner - Simple Assault,65,Monday-Burglary
Tuesday-Violation Of Court Order,Wednesday-Robbery,11,Tuesday-Violation Of Court Order
Tuesday-Violation Of Court Order,Wednesday-Burglary From Vehicle,6,Tuesday-Violation Of Court Order
Tuesday-Violation Of Court Order,"Wednesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",5,Tuesday-Violation Of Court Order
Tuesday-Violation Of Court Order,Wednesday-Vehicle - Stolen,9,Tuesday-Violation Of Court Order
Tuesday-Burglary,Wednesday-Burglary From Vehicle,80,Tuesday-Burglary
Tuesday-Burglary,Wednesday-Vehicle - Stolen,64,Tuesday-Burglary
Tuesday-Burglary From Vehicle,Wednesday-Robbery,49,Tuesday-Burglary From Vehicle
Tuesday-Burglary From Vehicle,Wednesday-Burglary From Vehicle,72,Tuesday-Burglary From Vehicle
Tuesday-Burglary From Vehicle,"Wednesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",30,Tuesday-Burglary From Vehicle
Tuesday-Burglary From Vehicle,Wednesday-Vehicle - Stolen,67,Tuesday-Burglary From Vehicle
Tuesday-Theft Plain - Petty ($950 & Under),Wednesday-Robbery,52,Tuesday-Theft Plain - Petty ($950 & Under)
Tuesday-Theft Plain - Petty ($950 & Under),Wednesday-Burglary From Vehicle,67,Tuesday-Theft Plain - Petty ($950 & Under)
Tuesday-Theft Plain - Petty ($950 & Under),"Wednesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",48,Tuesday-Theft Plain - Petty ($950 & Under)
Tuesday-Theft Plain - Petty ($950 & Under),Wednesday-Vehicle - Stolen,57,Tuesday-Theft Plain - Petty ($950 & Under)
Tuesday-Intimate Partner - Simple Assault,Wednesday-Robbery,29,Tuesday-Intimate Partner - Simple Assault
Tuesday-Intimate Partner - Simple Assault,Wednesday-Burglary From Vehicle,49,Tuesday-Intimate Partner - Simple Assault
