Source,Target,weight
Bike - Stolen,Violation Of Court Order,6428
Bike - Stolen,Violation Of Restraining Order,6776
Bike - Stolen,Violation Of Temporary Restraining Order,893
Bike - Stolen,Weapons Possession/Bombing,106
Blocking Door Induction Center,Arson,1
Blocking Door Induction Center,Assault With Deadly Weapon On Police Officer,2
Blocking Door Induction Center,"Assault With Deadly Weapon, Aggravated Assault",3
Blocking Door Induction Center,Attempted Robbery,3
Blocking Door Induction Center,Battery - Simple Assault,3
Blocking Door Induction Center,Battery Police (Simple),3
Blocking Door Induction Center,Battery With Sexual Contact,3
Blocking Door Induction Center,Bike - Stolen,3
Blocking Door Induction Center,Bomb Scare,1
Blocking Door Induction Center,Brandish Weapon,3
Blocking Door Induction Center,"Bunco, Grand Theft",2
Blocking Door Induction Center,"Bunco, Petty Theft",2
Blocking Door Induction Center,Burglary,3
Blocking Door Induction Center,Burglary From Vehicle,3
Blocking Door Induction Center,"Burglary From Vehicle, Attempted",2
Blocking Door Induction Center,"Burglary, Attempted",2
Blocking Door Induction Center,Child Abuse (Physical) - Aggravated Assault,2
Blocking Door Induction Center,Child Abuse (Physical) - Simple Assault,3
Blocking Door Induction Center,Child Annoying (17Yrs & Under),1
Blocking Door Induction Center,Child Neglect (See 300 W.I.C.),3
Blocking Door Induction Center,Child Stealing,1
Blocking Door Induction Center,Contempt Of Court,3
Blocking Door Induction Center,"Credit Cards, Fraud Use ($950.01 & Over)",1
Blocking Door Induction Center,Criminal Homicide,2
Blocking Door Induction Center,Criminal Threats - No Weapon Displayed,3
Blocking Door Induction Center,Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,2
Blocking Door Induction Center,"Defrauding Innkeeper/Theft Of Services, $400 & Under",2
Blocking Door Induction Center,Discharge Firearms/Shots Fired,2
Blocking Door Induction Center,Dishonest Employee - Grand Theft,1
Blocking Door Induction Center,Disturbing The Peace,2
Blocking Door Induction Center,Document Forgery / Stolen Felony,3
Blocking Door Induction Center,"Embezzlement, Grand Theft ($950.01 & Over)",1
Blocking Door Induction Center,Failure To Yield,2
Blocking Door Induction Center,Incest (Sexual Acts Between Blood Relatives),1
Blocking Door Induction Center,Indecent Exposure,3
Blocking Door Induction Center,Intimate Partner - Aggravated Assault,3
Blocking Door Induction Center,Intimate Partner - Simple Assault,3
Blocking Door Induction Center,Kidnapping,1
Blocking Door Induction Center,"Letters, Lewd",3
Blocking Door Induction Center,Oral Copulation,3
Blocking Door Induction Center,Other Assault,3
Blocking Door Induction Center,Other Miscellaneous Crime,3
Blocking Door Induction Center,"Rape, Forcible",3
Blocking Door Induction Center,Reckless Driving,1
Blocking Door Induction Center,Resisting Arrest,1
Blocking Door Induction Center,Robbery,3
Blocking Door Induction Center,"Sex, Unlawful",1
Blocking Door Induction Center,Sexual Pentration With A Foreign Object,1
Blocking Door Induction Center,Shoplifting - Petty Theft ($950 & Under),3
Blocking Door Induction Center,Shoplifting-Grand Theft ($950.01 & Over),1
Blocking Door Induction Center,Shots Fired At Inhabited Dwelling,2
Blocking Door Induction Center,"Shots Fired At Moving Vehicle, Train Or Aircraft",1
Blocking Door Induction Center,Stalking,1
Blocking Door Induction Center,Theft From Motor Vehicle - Attempt,2
Blocking Door Induction Center,Theft From Motor Vehicle - Grand ($400 And Over),3
Blocking Door Induction Center,Theft From Motor Vehicle - Petty ($950 & Under),3
Blocking Door Induction Center,Theft Of Identity,3
Blocking Door Induction Center,Theft Plain - Attempt,3
Blocking Door Induction Center,Theft Plain - Petty ($950 & Under),3
Blocking Door Induction Center,"Theft, Person",3
Blocking Door Induction Center,"Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",3
Blocking Door Induction Center,Throwing Object At Moving Vehicle,1
Blocking Door Induction Center,Trespassing,3
Blocking Door Induction Center,Unauthorized Computer Access,2
Blocking Door Induction Center,Unknown,1
Blocking Door Induction Center,"Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",3
Blocking Door Induction Center,Vandalism - Misdeameanor ($399 Or Under),3
Blocking Door Induction Center,Vehicle - Attempt Stolen,2
Blocking Door Induction Center,Vehicle - Stolen,3
Blocking Door Induction Center,Violation Of Court Order,3
Blocking Door Induction Center,Violation Of Restraining Order,3
Blocking Door Induction Center,Violation Of Temporary Restraining Order,3
Boat - Stolen,Arson,111
Boat - Stolen,Assault With Deadly Weapon On Police Officer,43
Boat - Stolen,"Assault With Deadly Weapon, Aggravated Assault",227
Boat - Stolen,Attempted Robbery,205
Boat - Stolen,Battery - Simple Assault,227
Boat - Stolen,Battery On A Firefighter,7
Boat - Stolen,Battery Police (Simple),122
Boat - Stolen,Battery With Sexual Contact,198
Boat - Stolen,"Beastiality, Crime Against Nature Sexual Asslt With Anim0065",1
Boat - Stolen,Bigamy,2
Boat - Stolen,Bike - Attempted Stolen,1
Boat - Stolen,Bike - Stolen,162
Boat - Stolen,Boat - Stolen,10
Boat - Stolen,Bomb Scare,44
Boat - Stolen,Brandish Weapon,185
Boat - Stolen,Bribery,1
Boat - Stolen,"Bunco, Attempt",26
Boat - Stolen,"Bunco, Grand Theft",139
Boat - Stolen,"Bunco, Petty Theft",112
Boat - Stolen,Burglary,227
Boat - Stolen,Burglary From Vehicle,227
Boat - Stolen,"Burglary From Vehicle, Attempted",110
Boat - Stolen,"Burglary, Attempted",210
Boat - Stolen,Child Abuse (Physical) - Aggravated Assault,74
Boat - Stolen,Child Abuse (Physical) - Simple Assault,175
Boat - Stolen,Child Annoying (17Yrs & Under),126
Boat - Stolen,Child Neglect (See 300 W.I.C.),154
Boat - Stolen,Child Stealing,60
Boat - Stolen,Conspiracy,4
Boat - Stolen,Contempt Of Court,51
Boat - Stolen,Contributing,13
Boat - Stolen,Counterfeit,35
Boat - Stolen,"Credit Cards, Fraud Use ($950 & Under",12
Boat - Stolen,"Credit Cards, Fraud Use ($950.01 & Over)",39
Boat - Stolen,Criminal Homicide,108
Boat - Stolen,Criminal Threats - No Weapon Displayed,227
Boat - Stolen,Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,157
Boat - Stolen,Cruelty To Animals,56
Boat - Stolen,"Defrauding Innkeeper/Theft Of Services, $400 & Under",85
Boat - Stolen,"Defrauding Innkeeper/Theft Of Services, Over $400",7
Boat - Stolen,Discharge Firearms/Shots Fired,115
Boat - Stolen,Dishonest Employee - Grand Theft,3
Boat - Stolen,Dishonest Employee - Petty Theft,3
Boat - Stolen,Dishonest Employee Attempted Theft,4
Boat - Stolen,Disrupt School,2
Boat - Stolen,Disturbing The Peace,114
Boat - Stolen,Document Forgery / Stolen Felony,221
Boat - Stolen,Document Worthless ($200 & Under),3
Boat - Stolen,Document Worthless ($200.01 & Over),15
Boat - Stolen,Driving Without Owner Consent (Dwoc),18
Boat - Stolen,"Embezzlement, Grand Theft ($950.01 & Over)",164
Boat - Stolen,"Embezzlement, Petty Theft ($950 & Under)",19
Boat - Stolen,Extortion,78
Boat - Stolen,Failure To Disperse,3
Boat - Stolen,Failure To Yield,12
Boat - Stolen,False Imprisonment,38
Boat - Stolen,False Police Report,13
Boat - Stolen,Grand Theft / Auto Repair,1
Boat - Stolen,Grand Theft / Insurance Fraud,7
Boat - Stolen,Illegal Dumping,20
Boat - Stolen,Inciting A Riot,3
Boat - Stolen,Indecent Exposure,94
Boat - Stolen,Intimate Partner - Aggravated Assault,156
Boat - Stolen,Intimate Partner - Simple Assault,227
Boat - Stolen,Kidnapping,76
Boat - Stolen,Kidnapping - Grand Attempt,32
Boat - Stolen,"Letters, Lewd",225
Boat - Stolen,Lewd Conduct,56
Boat - Stolen,Lynching,1
Boat - Stolen,Lynching - Attempted,1
Boat - Stolen,"Manslaughter, Negligent",1
Boat - Stolen,Oral Copulation,61
Boat - Stolen,Other Assault,59
Boat - Stolen,Other Miscellaneous Crime,220
Boat - Stolen,Pandering,9
Boat - Stolen,Peeping Tom,46
Boat - Stolen,Pickpocket,28
Boat - Stolen,Pimping,19
Boat - Stolen,Prowler,35
Boat - Stolen,Purse Snatching,48
Boat - Stolen,Purse Snatching - Attempt,3
Boat - Stolen,"Rape, Attempted",51
Boat - Stolen,"Rape, Forcible",189
Boat - Stolen,Reckless Driving,13
Boat - Stolen,Resisting Arrest,105
Boat - Stolen,Robbery,227
Boat - Stolen,"Sex, Unlawful",103
Boat - Stolen,Sexual Pentration With A Foreign Object,64
Boat - Stolen,Shoplifting - Attempt,6
Boat - Stolen,Shoplifting - Petty Theft ($950 & Under),227
Boat - Stolen,Shoplifting-Grand Theft ($950.01 & Over),115
Boat - Stolen,Shots Fired At Inhabited Dwelling,99
Boat - Stolen,"Shots Fired At Moving Vehicle, Train Or Aircraft",7
Boat - Stolen,Sodomy/Sexual Contact B/W Penis Of One Pers To Anus Oth 0007=02,48
Boat - Stolen,Stalking,68
Boat - Stolen,Telephone Property - Damage,4
Boat - Stolen,Theft From Motor Vehicle - Attempt,56
Boat - Stolen,Theft From Motor Vehicle - Grand ($400 And Over),227
Boat - Stolen,Theft From Motor Vehicle - Petty ($950 & Under),227
Boat - Stolen,Theft From Person - Attempt,12
Boat - Stolen,Theft Of Identity,227
Boat - Stolen,Theft Plain - Attempt,68
Boat - Stolen,Theft Plain - Petty ($950 & Under),227
Boat - Stolen,"Theft, Coin Machine - Grand ($950.01 & Over)",3
Boat - Stolen,"Theft, Coin Machine - Petty ($950 & Under)",8
Boat - Stolen,"Theft, Person",212
Boat - Stolen,"Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",227
Boat - Stolen,Threatening Phone Calls/Letters,108
Boat - Stolen,Throwing Object At Moving Vehicle,56
Boat - Stolen,Till Tap - Grand Theft ($950.01 & Over),1
Boat - Stolen,Till Tap - Petty ($950 & Under),1
Boat - Stolen,Train Wrecking,1
Boat - Stolen,Trespassing,220
Boat - Stolen,Unauthorized Computer Access,46
Boat - Stolen,Unknown,17
Boat - Stolen,"Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",227
Boat - Stolen,Vandalism - Misdeameanor ($399 Or Under),227
Boat - Stolen,Vehicle - Attempt Stolen,103
Boat - Stolen,Vehicle - Stolen,227
Boat - Stolen,Violation Of Court Order,224
Boat - Stolen,Violation Of Restraining Order,221
Boat - Stolen,Violation Of Temporary Restraining Order,46
Boat - Stolen,Weapons Possession/Bombing,12
Bomb Scare,Abortion/Illegal,1
Bomb Scare,Arson,410
Bomb Scare,Assault With Deadly Weapon On Police Officer,169
Bomb Scare,"Assault With Deadly Weapon, Aggravated Assault",857
Bomb Scare,Attempted Robbery,776
Bomb Scare,Battery - Simple Assault,857
Bomb Scare,Battery On A Firefighter,50
Bomb Scare,Battery Police (Simple),452
Bomb Scare,Battery With Sexual Contact,750
Bomb Scare,"Beastiality, Crime Against Nature Sexual Asslt With Anim0065",3
Bomb Scare,Bigamy,4
Bomb Scare,Bike - Attempted Stolen,5
Bomb Scare,Bike - Stolen,647
Bomb Scare,Blocking Door Induction Center,1
Bomb Scare,Boat - Stolen,35
Bomb Scare,Bomb Scare,216
Bomb Scare,Brandish Weapon,739
Bomb Scare,Bribery,7
Bomb Scare,"Bunco, Attempt",105
Bomb Scare,"Bunco, Grand Theft",574
Bomb Scare,"Bunco, Petty Theft",425
Bomb Scare,Burglary,856
Bomb Scare,Burglary From Vehicle,857
Bomb Scare,"Burglary From Vehicle, Attempted",416
Bomb Scare,"Burglary, Attempted",816
Bomb Scare,Child Abandonment,15
Bomb Scare,Child Abuse (Physical) - Aggravated Assault,242
Bomb Scare,Child Abuse (Physical) - Simple Assault,694
Bomb Scare,Child Annoying (17Yrs & Under),527
Bomb Scare,Child Neglect (See 300 W.I.C.),561
Bomb Scare,Child Stealing,173
Bomb Scare,Conspiracy,16
Bomb Scare,Contempt Of Court,270
Bomb Scare,Contributing,30
Bomb Scare,Counterfeit,155
Bomb Scare,"Credit Cards, Fraud Use ($950 & Under",46
Bomb Scare,"Credit Cards, Fraud Use ($950.01 & Over)",129
Bomb Scare,Criminal Homicide,357
Bomb Scare,Criminal Threats - No Weapon Displayed,856
Bomb Scare,Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,574
Bomb Scare,Cruelty To Animals,234
Bomb Scare,"Defrauding Innkeeper/Theft Of Services, $400 & Under",304
Bomb Scare,"Defrauding Innkeeper/Theft Of Services, Over $400",50
Bomb Scare,Discharge Firearms/Shots Fired,426
Bomb Scare,Dishonest Employee - Grand Theft,35
Bomb Scare,Dishonest Employee - Petty Theft,29
Bomb Scare,Dishonest Employee Attempted Theft,1
Bomb Scare,Disrupt School,9
Bomb Scare,Disturbing The Peace,440
Bomb Scare,Document Forgery / Stolen Felony,837
Bomb Scare,Document Worthless ($200 & Under),14
Bomb Scare,Document Worthless ($200.01 & Over),73
Bomb Scare,Driving Without Owner Consent (Dwoc),81
Bomb Scare,"Drugs, To A Minor",4
Bomb Scare,Drunk Roll,9
Bomb Scare,"Embezzlement, Grand Theft ($950.01 & Over)",675
Bomb Scare,"Embezzlement, Petty Theft ($950 & Under)",90
Bomb Scare,Extortion,304
Bomb Scare,Failure To Disperse,4
Bomb Scare,Failure To Yield,64
Bomb Scare,False Imprisonment,157
Bomb Scare,False Police Report,64
Bomb Scare,Grand Theft / Auto Repair,2
Bomb Scare,Grand Theft / Insurance Fraud,19
Bomb Scare,Illegal Dumping,93
Bomb Scare,Incest (Sexual Acts Between Blood Relatives),1
Bomb Scare,Inciting A Riot,3
Bomb Scare,Indecent Exposure,435
Bomb Scare,Intimate Partner - Aggravated Assault,580
Bomb Scare,Intimate Partner - Simple Assault,857
Bomb Scare,Kidnapping,312
Bomb Scare,Kidnapping - Grand Attempt,133
Bomb Scare,"Letters, Lewd",834
Bomb Scare,Lewd Conduct,186
Bomb Scare,Lynching,11
Bomb Scare,Lynching - Attempted,6
Bomb Scare,Oral Copulation,228
Bomb Scare,Other Assault,278
Bomb Scare,Other Miscellaneous Crime,841
Bomb Scare,Pandering,38
Bomb Scare,Peeping Tom,189
Bomb Scare,Petty Theft - Auto Repair,5
Bomb Scare,Pickpocket,122
Bomb Scare,"Pickpocket, Attempt",1
Bomb Scare,Pimping,69
Bomb Scare,Prowler,151
Bomb Scare,Purse Snatching,193
Bomb Scare,Purse Snatching - Attempt,10
Bomb Scare,"Rape, Attempted",173
Bomb Scare,"Rape, Forcible",705
Bomb Scare,Reckless Driving,47
Bomb Scare,"Replica Firearms(Sale,Display,Manufacture Or Distribute)0132",3
Bomb Scare,Resisting Arrest,426
Bomb Scare,Robbery,857
Bomb Scare,"Sex, Unlawful",418
Bomb Scare,Sexual Pentration With A Foreign Object,281
Bomb Scare,Shoplifting - Attempt,43
Bomb Scare,Shoplifting - Petty Theft ($950 & Under),855
Bomb Scare,Shoplifting-Grand Theft ($950.01 & Over),426
Bomb Scare,Shots Fired At Inhabited Dwelling,337
Bomb Scare,"Shots Fired At Moving Vehicle, Train Or Aircraft",43
Bomb Scare,Sodomy/Sexual Contact B/W Penis Of One Pers To Anus Oth 0007=02,193
Bomb Scare,Stalking,280
Bomb Scare,Telephone Property - Damage,9
Bomb Scare,Theft From Motor Vehicle - Attempt,205
Bomb Scare,Theft From Motor Vehicle - Grand ($400 And Over),853
Bomb Scare,Theft From Motor Vehicle - Petty ($950 & Under),857
Bomb Scare,Theft From Person - Attempt,50
Bomb Scare,Theft Of Identity,856
Bomb Scare,Theft Plain - Attempt,259
Bomb Scare,Theft Plain - Petty ($950 & Under),857
Bomb Scare,"Theft, Coin Machine - Attempt",2
Bomb Scare,"Theft, Coin Machine - Grand ($950.01 & Over)",13
Bomb Scare,"Theft, Coin Machine - Petty ($950 & Under)",46
Bomb Scare,"Theft, Person",789
Bomb Scare,"Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",856
Bomb Scare,Threatening Phone Calls/Letters,423
Bomb Scare,Throwing Object At Moving Vehicle,231
Bomb Scare,Till Tap - Grand Theft ($950.01 & Over),6
Bomb Scare,Till Tap - Petty ($950 & Under),13
Bomb Scare,Trespassing,834
Bomb Scare,Unauthorized Computer Access,181
Bomb Scare,Unknown,80
Bomb Scare,"Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",856
Bomb Scare,Vandalism - Misdeameanor ($399 Or Under),857
Bomb Scare,Vehicle - Attempt Stolen,446
Bomb Scare,Vehicle - Stolen,857
Bomb Scare,Violation Of Court Order,832
Bomb Scare,Violation Of Restraining Order,836
Bomb Scare,Violation Of Temporary Restraining Order,230
Bomb Scare,Weapons Possession/Bombing,24
Brandish Weapon,Abortion/Illegal,3
Brandish Weapon,Arson,2103
Brandish Weapon,Assault With Deadly Weapon On Police Officer,919
Brandish Weapon,"Assault With Deadly Weapon, Aggravated Assault",8892
Brandish Weapon,Attempted Robbery,5591
Brandish Weapon,Battery - Simple Assault,8895
Brandish Weapon,Battery On A Firefighter,194
Brandish Weapon,Battery Police (Simple),2515
Brandish Weapon,Battery With Sexual Contact,5084
Brandish Weapon,"Beastiality, Crime Against Nature Sexual Asslt With Anim0065",14
Brandish Weapon,Bigamy,6
Brandish Weapon,Bike - Attempted Stolen,26
Brandish Weapon,Bike - Stolen,5668
Brandish Weapon,Blocking Door Induction Center,3
Brandish Weapon,Boat - Stolen,187
Brandish Weapon,Bomb Scare,744
Brandish Weapon,Brandish Weapon,6054
Brandish Weapon,Bribery,27
Brandish Weapon,"Bunco, Attempt",422
Brandish Weapon,"Bunco, Grand Theft",3838
Brandish Weapon,"Bunco, Petty Theft",2580
Brandish Weapon,Burglary,8888
Brandish Weapon,Burglary From Vehicle,8891
Brandish Weapon,"Burglary From Vehicle, Attempted",1866
Brandish Weapon,"Burglary, Attempted",5803
Brandish Weapon,Child Abandonment,59
Brandish Weapon,Child Abuse (Physical) - Aggravated Assault,1047
Brandish Weapon,Child Abuse (Physical) - Simple Assault,4329
Brandish Weapon,Child Annoying (17Yrs & Under),2756
Brandish Weapon,Child Neglect (See 300 W.I.C.),2980
Brandish Weapon,Child Stealing,786
Brandish Weapon,Conspiracy,44
Brandish Weapon,Contempt Of Court,2069
Brandish Weapon,Contributing,119
Brandish Weapon,Counterfeit,584
Brandish Weapon,"Credit Cards, Fraud Use ($950 & Under",178
Brandish Weapon,"Credit Cards, Fraud Use ($950.01 & Over)",560
Brandish Weapon,Criminal Homicide,1750
Brandish Weapon,Criminal Threats - No Weapon Displayed,8803
Brandish Weapon,Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,3244
Brandish Weapon,Cruelty To Animals,933
Brandish Weapon,"Defrauding Innkeeper/Theft Of Services, $400 & Under",1404
Brandish Weapon,"Defrauding Innkeeper/Theft Of Services, Over $400",155
Brandish Weapon,Discharge Firearms/Shots Fired,2254
Brandish Weapon,Dishonest Employee - Grand Theft,117
Brandish Weapon,Dishonest Employee - Petty Theft,86
Brandish Weapon,Dishonest Employee Attempted Theft,6
Brandish Weapon,Disrupt School,27
Brandish Weapon,Disturbing The Peace,2220
Brandish Weapon,Document Forgery / Stolen Felony,7372
Brandish Weapon,Document Worthless ($200 & Under),36
Brandish Weapon,Document Worthless ($200.01 & Over),244
Brandish Weapon,Driving Without Owner Consent (Dwoc),334
Brandish Weapon,"Drugs, To A Minor",30
Brandish Weapon,Drunk Roll,25
Brandish Weapon,Drunk Roll - Attempt,1
Brandish Weapon,"Embezzlement, Grand Theft ($950.01 & Over)",3898
Brandish Weapon,"Embezzlement, Petty Theft ($950 & Under)",408
Brandish Weapon,Extortion,1407
Brandish Weapon,Failure To Disperse,16
Brandish Weapon,Failure To Yield,235
Brandish Weapon,False Imprisonment,616
Brandish Weapon,False Police Report,268
Brandish Weapon,Grand Theft / Auto Repair,12
Brandish Weapon,Grand Theft / Insurance Fraud,58
Brandish Weapon,Illegal Dumping,343
Brandish Weapon,Incest (Sexual Acts Between Blood Relatives),8
Brandish Weapon,Inciting A Riot,6
Brandish Weapon,Indecent Exposure,2082
Brandish Weapon,Intimate Partner - Aggravated Assault,5585
Brandish Weapon,Intimate Partner - Simple Assault,8892
Brandish Weapon,Kidnapping,1344
Brandish Weapon,Kidnapping - Grand Attempt,496
Brandish Weapon,"Letters, Lewd",6794
Brandish Weapon,Lewd Conduct,824
Brandish Weapon,Lynching,33
Brandish Weapon,Lynching - Attempted,16
Brandish Weapon,"Manslaughter, Negligent",3
Brandish Weapon,Oral Copulation,1029
Brandish Weapon,Other Assault,1600
Brandish Weapon,Other Miscellaneous Crime,6957
Brandish Weapon,Pandering,169
Brandish Weapon,Peeping Tom,757
Brandish Weapon,Petty Theft - Auto Repair,17
Brandish Weapon,Pickpocket,527
Brandish Weapon,"Pickpocket, Attempt",14
Brandish Weapon,Pimping,344
Brandish Weapon,Prowler,624
Brandish Weapon,Purse Snatching,840
Brandish Weapon,Purse Snatching - Attempt,32
Brandish Weapon,"Rape, Attempted",760
Brandish Weapon,"Rape, Forcible",4755
Brandish Weapon,Reckless Driving,160
Brandish Weapon,"Replica Firearms(Sale,Display,Manufacture Or Distribute)0132",17
Brandish Weapon,Resisting Arrest,2005
Brandish Weapon,Robbery,8893
Brandish Weapon,"Sex, Unlawful",1933
Brandish Weapon,Sexual Pentration With A Foreign Object,1319
Brandish Weapon,Shoplifting - Attempt,149
Brandish Weapon,Shoplifting - Petty Theft ($950 & Under),8832
Brandish Weapon,Shoplifting-Grand Theft ($950.01 & Over),2215
Brandish Weapon,Shots Fired At Inhabited Dwelling,1615
Brandish Weapon,"Shots Fired At Moving Vehicle, Train Or Aircraft",166
Brandish Weapon,Sodomy/Sexual Contact B/W Penis Of One Pers To Anus Oth 0007=02,840
Brandish Weapon,Stalking,1196
Brandish Weapon,Telephone Property - Damage,31
Brandish Weapon,Theft From Motor Vehicle - Attempt,841
Brandish Weapon,Theft From Motor Vehicle - Grand ($400 And Over),8376
Brandish Weapon,Theft From Motor Vehicle - Petty ($950 & Under),8890
Brandish Weapon,Theft From Person - Attempt,206
Brandish Weapon,Theft Of Identity,8876
Brandish Weapon,Theft Plain - Attempt,1111
Brandish Weapon,Theft Plain - Petty ($950 & Under),8892
Brandish Weapon,"Theft, Coin Machine - Attempt",16
Brandish Weapon,"Theft, Coin Machine - Grand ($950.01 & Over)",31
Brandish Weapon,"Theft, Coin Machine - Petty ($950 & Under)",152
Brandish Weapon,"Theft, Person",6241
Brandish Weapon,"Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",8858
Brandish Weapon,Threatening Phone Calls/Letters,2017
Brandish Weapon,Throwing Object At Moving Vehicle,972
Brandish Weapon,Till Tap - Attempt,2
Brandish Weapon,Till Tap - Grand Theft ($950.01 & Over),11
Brandish Weapon,Till Tap - Petty ($950 & Under),59
Brandish Weapon,Train Wrecking,1
Brandish Weapon,Trespassing,7539
Brandish Weapon,Unauthorized Computer Access,843
Brandish Weapon,Unknown,388
Brandish Weapon,"Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",8890
Brandish Weapon,Vandalism - Misdeameanor ($399 Or Under),8890
Brandish Weapon,Vehicle - Attempt Stolen,2077
Brandish Weapon,Vehicle - Stolen,8892
Brandish Weapon,Violation Of Court Order,6975
Brandish Weapon,Violation Of Restraining Order,7104
Brandish Weapon,Violation Of Temporary Restraining Order,926
Brandish Weapon,Weapons Possession/Bombing,119
Bribery,Arson,15
Bribery,Assault With Deadly Weapon On Police Officer,3
Bribery,"Assault With Deadly Weapon, Aggravated Assault",29
Bribery,Attempted Robbery,29
Bribery,Battery - Simple Assault,29
Bribery,Battery Police (Simple),15
Bribery,Battery With Sexual Contact,26
Bribery,Bike - Stolen,22
Bribery,Boat - Stolen,6
Bribery,Bomb Scare,8
Bribery,Brandish Weapon,27
Bribery,Bribery,1
Bribery,"Bunco, Attempt",4
Bribery,"Bunco, Grand Theft",12
Bribery,"Bunco, Petty Theft",14
Bribery,Burglary,29
Bribery,Burglary From Vehicle,29
Bribery,"Burglary From Vehicle, Attempted",18
Bribery,"Burglary, Attempted",29
Bribery,Child Abandonment,2
Bribery,Child Abuse (Physical) - Aggravated Assault,15
Bribery,Child Abuse (Physical) - Simple Assault,26
Bribery,Child Annoying (17Yrs & Under),21
Bribery,Child Neglect (See 300 W.I.C.),23
Bribery,Child Stealing,4
Bribery,Contempt Of Court,5
Bribery,Contributing,1
Bribery,Counterfeit,4
Bribery,"Credit Cards, Fraud Use ($950 & Under",2
Bribery,"Credit Cards, Fraud Use ($950.01 & Over)",7
Bribery,Criminal Homicide,13
Bribery,Criminal Threats - No Weapon Displayed,29
Bribery,Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,24
Bribery,Cruelty To Animals,9
Bribery,"Defrauding Innkeeper/Theft Of Services, $400 & Under",10
Bribery,"Defrauding Innkeeper/Theft Of Services, Over $400",2
Bribery,Discharge Firearms/Shots Fired,12
Bribery,Dishonest Employee - Grand Theft,1
Bribery,Dishonest Employee - Petty Theft,1
Bribery,Disturbing The Peace,13
Bribery,Document Forgery / Stolen Felony,29
Bribery,Document Worthless ($200.01 & Over),3
Bribery,Driving Without Owner Consent (Dwoc),4
Bribery,"Embezzlement, Grand Theft ($950.01 & Over)",28
Bribery,"Embezzlement, Petty Theft ($950 & Under)",9
Bribery,Extortion,7
Bribery,Failure To Yield,2
Bribery,False Imprisonment,3
Bribery,False Police Report,3
Bribery,Illegal Dumping,2
Bribery,Indecent Exposure,16
Bribery,Intimate Partner - Aggravated Assault,16
Bribery,Intimate Partner - Simple Assault,29
Bribery,Kidnapping,11
Bribery,Kidnapping - Grand Attempt,5
Bribery,"Letters, Lewd",29
Bribery,Lewd Conduct,5
Bribery,Oral Copulation,10
Bribery,Other Assault,10
Bribery,Other Miscellaneous Crime,29
Bribery,Pandering,3
Bribery,Peeping Tom,3
Bribery,Pickpocket,2
Bribery,Pimping,3
Bribery,Prowler,11
Bribery,Purse Snatching,8
Bribery,"Rape, Attempted",4
Bribery,"Rape, Forcible",26
Bribery,"Replica Firearms(Sale,Display,Manufacture Or Distribute)0132",1
Bribery,Resisting Arrest,16
Bribery,Robbery,29
Bribery,"Sex, Unlawful",15
Bribery,Sexual Pentration With A Foreign Object,11
Bribery,Shoplifting - Attempt,1
Bribery,Shoplifting - Petty Theft ($950 & Under),29
Bribery,Shoplifting-Grand Theft ($950.01 & Over),23
Bribery,Shots Fired At Inhabited Dwelling,16
Bribery,"Shots Fired At Moving Vehicle, Train Or Aircraft",2
Bribery,Sodomy/Sexual Contact B/W Penis Of One Pers To Anus Oth 0007=02,7
Bribery,Stalking,14
Bribery,Telephone Property - Damage,1
Bribery,Theft From Motor Vehicle - Attempt,9
Bribery,Theft From Motor Vehicle - Grand ($400 And Over),29
Bribery,Theft From Motor Vehicle - Petty ($950 & Under),29
Bribery,Theft From Person - Attempt,1
Bribery,Theft Of Identity,29
Bribery,Theft Plain - Attempt,10
Bribery,Theft Plain - Petty ($950 & Under),29
Bribery,"Theft, Coin Machine - Attempt",1
Bribery,"Theft, Coin Machine - Grand ($950.01 & Over)",1
Bribery,"Theft, Coin Machine - Petty ($950 & Under)",2
Bribery,"Theft, Person",25
Bribery,"Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",29
Bribery,Threatening Phone Calls/Letters,11
Bribery,Throwing Object At Moving Vehicle,8
Bribery,Trespassing,29
Bribery,Unauthorized Computer Access,6
Bribery,Unknown,3
Bribery,"Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",29
Bribery,Vandalism - Misdeameanor ($399 Or Under),29
Bribery,Vehicle - Attempt Stolen,15
Bribery,Vehicle - Stolen,29
Bribery,Violation Of Court Order,29
Bribery,Violation Of Restraining Order,29
Bribery,Violation Of Temporary Restraining Order,6
