Source,Target,weight
Arson,Dishonest Employee - Petty Theft,62
Arson,Dishonest Employee Attempted Theft,4
Arson,Disrupt School,15
Arson,Disturbing The Peace,1194
Arson,Document Forgery / Stolen Felony,2512
Arson,Document Worthless ($200 & Under),26
Arson,Document Worthless ($200.01 & Over),147
Arson,Driving Without Owner Consent (Dwoc),200
Arson,"Drugs, To A Minor",12
Arson,Drunk Roll,21
Arson,Drunk Roll - Attempt,1
Arson,"Embezzlement, Grand Theft ($950.01 & Over)",1829
Arson,"Embezzlement, Petty Theft ($950 & Under)",244
Arson,Extortion,728
Arson,Failure To Disperse,7
Arson,Failure To Yield,146
Arson,False Imprisonment,344
Arson,False Police Report,173
Arson,Grand Theft / Auto Repair,7
Arson,Grand Theft / Insurance Fraud,23
Arson,Illegal Dumping,222
Arson,Incest (Sexual Acts Between Blood Relatives),3
Arson,Inciting A Riot,4
Arson,Indecent Exposure,1088
Arson,Intimate Partner - Aggravated Assault,1732
Arson,Intimate Partner - Simple Assault,2630
Arson,Kidnapping,746
Arson,Kidnapping - Grand Attempt,309
Arson,"Letters, Lewd",2509
Arson,Lewd Conduct,512
Arson,Lynching,22
Arson,Lynching - Attempted,13
Arson,Oral Copulation,602
Arson,Other Assault,800
Arson,Other Miscellaneous Crime,2525
Arson,Pandering,94
Arson,Peeping Tom,449
Arson,Petty Theft - Auto Repair,8
Arson,Pickpocket,289
Arson,"Pickpocket, Attempt",7
Arson,Pimping,201
Arson,Prowler,379
Arson,Purse Snatching,499
Arson,Purse Snatching - Attempt,22
Arson,"Rape, Attempted",468
Arson,"Rape, Forcible",2049
Arson,Reckless Driving,96
Arson,"Replica Firearms(Sale,Display,Manufacture Or Distribute)0132",6
Arson,Resisting Arrest,1045
Arson,Robbery,2630
Arson,"Sex, Unlawful",1024
Arson,Sexual Pentration With A Foreign Object,726
Arson,Shoplifting - Attempt,92
Arson,Shoplifting - Petty Theft ($950 & Under),2603
Arson,Shoplifting-Grand Theft ($950.01 & Over),1146
Arson,Shots Fired At Inhabited Dwelling,892
Arson,"Shots Fired At Moving Vehicle, Train Or Aircraft",85
Arson,Sodomy/Sexual Contact B/W Penis Of One Pers To Anus Oth 0007=02,504
Arson,Stalking,716
Arson,Telephone Property - Damage,22
Arson,Theft From Motor Vehicle - Attempt,495
Arson,Theft From Motor Vehicle - Grand ($400 And Over),2600
Arson,Theft From Motor Vehicle - Petty ($950 & Under),2630
Arson,Theft From Person - Attempt,107
Arson,Theft Of Identity,2630
Arson,Theft Plain - Attempt,636
Arson,Theft Plain - Petty ($950 & Under),2630
Arson,"Theft, Coin Machine - Attempt",12
Arson,"Theft, Coin Machine - Grand ($950.01 & Over)",19
Arson,"Theft, Coin Machine - Petty ($950 & Under)",99
Arson,"Theft, Person",2341
Arson,"Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",2630
Arson,Threatening Phone Calls/Letters,1130
Arson,Throwing Object At Moving Vehicle,570
Arson,Till Tap - Grand Theft ($950.01 & Over),8
Arson,Till Tap - Petty ($950 & Under),40
Arson,Train Wrecking,1
Arson,Trespassing,2476
Arson,Unauthorized Computer Access,504
Arson,Unknown,202
Arson,"Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",2630
Arson,Vandalism - Misdeameanor ($399 Or Under),2630
Arson,Vehicle - Attempt Stolen,1102
Arson,Vehicle - Stolen,2630
Arson,Violation Of Court Order,2502
Arson,Violation Of Restraining Order,2492
Arson,Violation Of Temporary Restraining Order,528
Arson,Weapons Possession/Bombing,76
Assault With Deadly Weapon On Police Officer,Abortion/Illegal,1
Assault With Deadly Weapon On Police Officer,Arson,478
Assault With Deadly Weapon On Police Officer,Assault With Deadly Weapon On Police Officer,208
Assault With Deadly Weapon On Police Officer,"Assault With Deadly Weapon, Aggravated Assault",1255
Assault With Deadly Weapon On Police Officer,Attempted Robbery,1033
Assault With Deadly Weapon On Police Officer,Battery - Simple Assault,1258
Assault With Deadly Weapon On Police Officer,Battery On A Firefighter,49
Assault With Deadly Weapon On Police Officer,Battery Police (Simple),564
Assault With Deadly Weapon On Police Officer,Battery With Sexual Contact,957
Assault With Deadly Weapon On Police Officer,"Beastiality, Crime Against Nature Sexual Asslt With Anim0065",2
Assault With Deadly Weapon On Police Officer,Bigamy,4
Assault With Deadly Weapon On Police Officer,Bike - Attempted Stolen,6
Assault With Deadly Weapon On Police Officer,Bike - Stolen,840
Assault With Deadly Weapon On Police Officer,Boat - Stolen,51
Assault With Deadly Weapon On Police Officer,Bomb Scare,174
Assault With Deadly Weapon On Police Officer,Brandish Weapon,940
Assault With Deadly Weapon On Police Officer,Bribery,7
Assault With Deadly Weapon On Police Officer,"Bunco, Attempt",115
Assault With Deadly Weapon On Police Officer,"Bunco, Grand Theft",709
Assault With Deadly Weapon On Police Officer,"Bunco, Petty Theft",521
Assault With Deadly Weapon On Police Officer,Burglary,1258
Assault With Deadly Weapon On Police Officer,Burglary From Vehicle,1258
Assault With Deadly Weapon On Police Officer,"Burglary From Vehicle, Attempted",438
Assault With Deadly Weapon On Police Officer,"Burglary, Attempted",1048
Assault With Deadly Weapon On Police Officer,Child Abandonment,15
Assault With Deadly Weapon On Police Officer,Child Abuse (Physical) - Aggravated Assault,268
Assault With Deadly Weapon On Police Officer,Child Abuse (Physical) - Simple Assault,862
Assault With Deadly Weapon On Police Officer,Child Annoying (17Yrs & Under),604
Assault With Deadly Weapon On Police Officer,Child Neglect (See 300 W.I.C.),642
Assault With Deadly Weapon On Police Officer,Child Stealing,214
Assault With Deadly Weapon On Police Officer,Conspiracy,16
Assault With Deadly Weapon On Police Officer,Contempt Of Court,365
Assault With Deadly Weapon On Police Officer,Contributing,35
Assault With Deadly Weapon On Police Officer,Counterfeit,145
Assault With Deadly Weapon On Police Officer,"Credit Cards, Fraud Use ($950 & Under",52
Assault With Deadly Weapon On Police Officer,"Credit Cards, Fraud Use ($950.01 & Over)",129
Assault With Deadly Weapon On Police Officer,Criminal Homicide,409
Assault With Deadly Weapon On Police Officer,Criminal Threats - No Weapon Displayed,1248
Assault With Deadly Weapon On Police Officer,Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,701
Assault With Deadly Weapon On Police Officer,Cruelty To Animals,256
Assault With Deadly Weapon On Police Officer,"Defrauding Innkeeper/Theft Of Services, $400 & Under",326
Assault With Deadly Weapon On Police Officer,"Defrauding Innkeeper/Theft Of Services, Over $400",42
Assault With Deadly Weapon On Police Officer,Discharge Firearms/Shots Fired,507
Assault With Deadly Weapon On Police Officer,Dishonest Employee - Grand Theft,32
Assault With Deadly Weapon On Police Officer,Dishonest Employee - Petty Theft,22
Assault With Deadly Weapon On Police Officer,Dishonest Employee Attempted Theft,2
Assault With Deadly Weapon On Police Officer,Disrupt School,9
Assault With Deadly Weapon On Police Officer,Disturbing The Peace,498
Assault With Deadly Weapon On Police Officer,Document Forgery / Stolen Felony,1181
Assault With Deadly Weapon On Police Officer,Document Worthless ($200 & Under),10
Assault With Deadly Weapon On Police Officer,Document Worthless ($200.01 & Over),58
Assault With Deadly Weapon On Police Officer,Driving Without Owner Consent (Dwoc),93
Assault With Deadly Weapon On Police Officer,"Drugs, To A Minor",11
Assault With Deadly Weapon On Police Officer,Drunk Roll,6
Assault With Deadly Weapon On Police Officer,"Embezzlement, Grand Theft ($950.01 & Over)",826
Assault With Deadly Weapon On Police Officer,"Embezzlement, Petty Theft ($950 & Under)",109
Assault With Deadly Weapon On Police Officer,Extortion,334
Assault With Deadly Weapon On Police Officer,Failure To Disperse,2
Assault With Deadly Weapon On Police Officer,Failure To Yield,72
Assault With Deadly Weapon On Police Officer,False Imprisonment,152
Assault With Deadly Weapon On Police Officer,False Police Report,59
Assault With Deadly Weapon On Police Officer,Grand Theft / Auto Repair,3
Assault With Deadly Weapon On Police Officer,Grand Theft / Insurance Fraud,16
Assault With Deadly Weapon On Police Officer,Illegal Dumping,85
Assault With Deadly Weapon On Police Officer,Incest (Sexual Acts Between Blood Relatives),2
Assault With Deadly Weapon On Police Officer,Inciting A Riot,1
Assault With Deadly Weapon On Police Officer,Indecent Exposure,466
Assault With Deadly Weapon On Police Officer,Intimate Partner - Aggravated Assault,782
Assault With Deadly Weapon On Police Officer,Intimate Partner - Simple Assault,1258
Assault With Deadly Weapon On Police Officer,Kidnapping,353
Assault With Deadly Weapon On Police Officer,Kidnapping - Grand Attempt,142
Assault With Deadly Weapon On Police Officer,"Letters, Lewd",1151
Assault With Deadly Weapon On Police Officer,Lewd Conduct,231
Assault With Deadly Weapon On Police Officer,Lynching,8
Assault With Deadly Weapon On Police Officer,Lynching - Attempted,1
Assault With Deadly Weapon On Police Officer,Oral Copulation,264
Assault With Deadly Weapon On Police Officer,Other Assault,317
Assault With Deadly Weapon On Police Officer,Other Miscellaneous Crime,1165
Assault With Deadly Weapon On Police Officer,Pandering,48
Assault With Deadly Weapon On Police Officer,Peeping Tom,189
Assault With Deadly Weapon On Police Officer,Petty Theft - Auto Repair,3
Assault With Deadly Weapon On Police Officer,Pickpocket,135
Assault With Deadly Weapon On Police Officer,"Pickpocket, Attempt",6
Assault With Deadly Weapon On Police Officer,Pimping,83
Assault With Deadly Weapon On Police Officer,Prowler,157
Assault With Deadly Weapon On Police Officer,Purse Snatching,223
Assault With Deadly Weapon On Police Officer,Purse Snatching - Attempt,12
Assault With Deadly Weapon On Police Officer,"Rape, Attempted",188
Assault With Deadly Weapon On Police Officer,"Rape, Forcible",867
Assault With Deadly Weapon On Police Officer,Reckless Driving,35
